repo_index,CommitEvent,CommitCommentEvent,IssueEvent,IssueCommentEvent,PullRequestEvent,PullRequestCommentEvent
30416,12,0,96,606,0,0
45781,63,0,14,30,20,10
5341,0,0,0,0,0,0
848,0,0,0,0,0,0
21028,14,0,3,7,3,5
25595,499,0,52,312,0,0
2107,0,0,0,0,0,0
1185,0,0,0,0,0,0
16990,0,0,6,0,0,0
15779,0,0,0,0,0,0
2778,0,0,0,0,0,0
12733,35,4,56,156,0,4
5190,0,0,0,0,0,0
7763,0,0,0,0,0,0
6880,0,0,0,0,0,0
38595,407,0,0,0,0,0
28803,0,0,2,0,2,0
20077,31,0,12,30,57,57
5218,0,0,0,0,0,0
45597,10,0,1,1,0,0
23146,4,0,5,7,2,3
20972,8,0,4,18,1,3
36964,17,2,12,6,8,0
47705,2,0,0,0,0,0
1989,0,0,0,0,0,0
28326,31,0,0,0,36,36
40603,0,0,0,0,3,0
18446,0,0,0,0,0,0
28135,18,0,6,30,10,24
17692,10,0,24,63,18,3
21801,0,0,1,4,0,0
655,0,0,0,0,0,0
1000,0,0,0,0,0,0
9088,0,0,0,0,0,0
10932,0,0,1,3,2,2
15166,0,0,1,2,2,2
23535,0,0,0,0,0,0
38496,1,0,0,0,0,0
11535,40,0,264,708,144,108
8451,0,0,0,0,0,0
2674,0,0,0,0,0,0
5462,0,0,0,0,0,0
10885,1,0,2,0,2,0
36304,0,0,0,0,0,0
9193,0,0,0,0,0,0
2949,0,0,0,0,0,0
35571,468,0,0,0,0,0
14397,0,0,0,0,0,0
28726,0,0,1,3,0,0
33328,0,0,0,0,0,0
32756,0,0,2,0,0,0
35767,1,0,9,15,0,0
42809,0,0,0,0,0,0
39931,31,0,0,0,0,0
43070,4,0,0,0,8,8
20025,0,0,0,0,0,0
8472,0,0,0,0,0,0
3900,0,0,0,0,0,0
11969,2,0,0,0,0,0
22595,66,20,25,320,140,300
18160,0,0,0,10,0,0
38072,0,0,0,0,0,0
15433,10,0,2,1,1,0
8465,0,0,0,0,0,0
35102,0,0,0,0,0,0
46339,6,0,9,15,6,21
37646,0,0,1,0,0,0
16611,106,0,336,1680,0,0
34935,1,0,3,8,1,0
36389,0,0,0,2,0,0
3136,0,0,0,0,0,0
45447,45,6,3,0,0,0
4330,0,0,0,0,0,0
25556,22,0,6,9,9,0
3818,0,0,0,0,0,0
37592,0,0,0,4,0,0
12141,10,0,24,42,132,96
24531,108,0,5,0,0,10
17268,3,0,2,0,1,1
5036,0,0,0,0,0,0
46740,0,0,1,1,1,0
21343,0,0,0,0,0,0
12576,4,0,0,32,8,0
28119,0,0,3,24,24,132
14306,159,0,0,52,0,0
25845,36,0,2,1,6,3
6929,0,0,0,0,0,0
40480,0,0,0,0,0,0
251,0,0,0,0,0,0
41267,231,0,56,56,32,0
24043,0,0,0,0,1,0
17552,192,0,198,231,0,0
24712,0,0,0,0,0,0
6894,0,0,0,0,0,0
27087,6,0,6,20,3,2
8702,0,0,0,0,0,0
13281,17,0,2,10,2,1
32851,14,0,20,62,4,6
7491,0,0,0,0,0,0
14622,6,0,6,12,2,4
32391,38,0,4,12,36,0
13207,18,0,6,14,3,1
11380,2,0,1,1,1,1
44658,9,0,0,0,0,0
1165,0,0,0,0,0,0
1292,0,0,0,0,0,0
39340,0,0,0,0,1,0
37067,0,0,0,0,0,0
945,0,0,0,0,0,0
16894,19,0,3,0,0,0
3895,0,0,0,0,0,0
8576,0,0,0,0,0,0
25740,0,0,0,4,0,1
4660,0,0,0,0,0,0
1853,0,0,0,0,0,0
3340,0,0,0,0,0,0
5169,0,0,0,0,0,0
37135,4,0,0,0,3,0
2968,0,0,0,0,0,0
33234,9,0,0,0,0,0
1266,0,0,0,0,0,0
