repo_index,CommitEvent,CommitCommentEvent,IssueEvent,IssueCommentEvent,PullRequestEvent,PullRequestCommentEvent
956,19,0,0,0,0,0
957,29,0,0,40,0,0
958,583,76,0,1178,0,0
959,553,0,574,1008,700,987
960,88,0,0,18,0,0
961,48,0,450,1340,160,590
966,3795,1836,0,306,0,0
967,39,72,378,1440,549,630
968,117,42,364,539,231,147
969,90,0,0,0,0,0
972,1156,280,0,1080,1720,4240
973,23,4,22,136,28,50
974,6,0,160,120,20,5
977,120,490,0,0,343,1078
978,0,0,3,4,0,0
979,0,3,0,0,4,3
980,1254,0,0,3225,129,0
981,1026,0,0,115,0,0
982,5,0,0,15,9,15
983,288,0,0,0,0,0
984,101,17,0,204,0,0
985,218,40,0,384,0,8
986,101,17,0,204,0,0
987,30,0,0,80,0,20
988,4,0,0,36,12,12
992,43,0,12,12,20,2
993,95,0,30,171,33,30
994,64,0,0,36,0,0
995,16,0,32,102,0,2
996,1662,0,3200,10944,3200,384
997,35,3,18,213,3,0
998,539,126,0,336,0,0
999,200,117,910,5382,0,13
1000,453,8,632,2632,624,448
1001,34,0,12,16,4,2
1002,2067,0,0,1764,0,0
1003,100,0,6,4,2,2
1004,0,0,0,0,18,4
1007,1028,171,5700,15789,5700,7239
1008,0,513,1596,5149,1615,3762
1010,27,4,0,24,32,28
1012,142,7,98,511,98,168
1013,100,0,28,70,7,14
1014,1239,42,0,630,966,2772
1015,4238,126,0,2016,0,0
1016,56,0,0,63,36,54
1017,1160,0,0,236,0,0
1019,104,0,0,187,0,0
1020,293,66,0,0,0,0
1022,30,0,0,10,32,18
1023,24,0,88,212,22,30
1024,519,675,0,225,0,0
1025,881,0,0,5880,0,0
1027,653,144,7200,13176,7200,8928
1028,312,88,0,176,0,0
1029,769,150,0,0,0,0
1030,2459,0,0,392,0,0
1031,25,0,0,12,60,104
1032,419,1026,0,342,0,0
1033,347,147,0,105,0,0
1034,342,90,0,63,0,0
1035,36,6,36,30,144,12
1036,3,0,0,7,42,70
1037,6,0,16,40,12,10
1038,141,22,264,1122,0,0
1039,106,16,0,16,0,0
1041,0,0,0,0,2,0
1042,26,0,0,483,0,161
1043,89,0,0,0,0,0
1044,33,0,20,116,108,108
1045,0,0,1,5,0,0
1046,224,0,756,3276,594,396
1047,31,0,0,55,0,0
1048,724,0,0,630,0,0
1049,170,0,592,2192,352,504
1050,13,0,0,72,84,264
1051,771,0,1003,1683,0,0
1053,2,0,0,24,18,0
1055,85,0,0,0,32,200
1056,62,0,80,344,0,24
1057,423,14,0,854,0,28
1058,304,272,0,96,624,1104
1060,0,0,0,13,0,0
1061,1,0,0,20,3,2
1062,43,0,0,13,0,0
1063,8851,0,0,17520,0,0
1064,4,0,0,4,0,2
1065,118,40,0,0,0,0
1066,4,0,0,0,64,16
1067,0,0,0,319,0,143
1068,348,286,0,0,0,0
1069,346,0,900,2358,144,153
1070,5,0,0,0,0,0
1071,297,45,0,615,0,0
1073,70,0,5,30,40,0
1074,189,0,0,168,0,0
1075,17,14,0,7,0,0
1076,70,0,0,70,91,119
